Référence;Description FR;Description ENG;Fournisseur;Date céation;Gamme;Lot/Vrac;Nombre de pièce;EAN 13;EAN 14 SPCB;EAN 14 PCB;Nomenclature;"Epaisseur
(mm)";"Longueur 
(mm)";"Poids 
(g)";"Matière lame/
haut de couvert";Chrome %;Finition;"Matière manche/
produit";"Pantone/Motif manche
N°1";"Pantone/Motif manche
N°2";"Pantone/Motif manche
N°3";"Pantone/Motif manche
N°4";"Pantone/Motif manche
N°5";"Pantone/Motif manche
N°6";Marquage;"Dimensions marquage
(mm)";"Emplacement du
marquage";Artwork;How to pack;Matière Packaging;"Poids Packaging
(g)";"Hauteur Packaging 
(cm)";"Longueur Packaging
(cm)";"Largeur Packaging
(cm)";SPCB;PCB;"Hauteur PCB
(cm)";"Longueur PCB
(cm)";"Largeur PCB
(cm)";"Volume PCB
(cmb)";"Poids PCB
(kg)"
30170044;CAFE LAG DUO VERT FONCE 5615C VRAC + GENCOD;DUO TABLE TEA SPOON BRONZE 5615C COLOUR;HONGXING;2018-03-13;Duo;Vrac;1.0;3118220023451;13118220023458;23118220023455;82159910000.0;1.5;145;25;18/0;16-18;Mirror polish;AS/ABS 2 TONE;Bronze 5615C; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 13,5;Derrière tête;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - picto) - then 6 pieces wrapped one by one together in silk paper and put in a white neutral box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;26.5;39.0;20.5;0.02118675;0.03095833333333333
30170047;;SET OF 12 PCS LAG DUO TAPAS ASSORTED COLOURS IN BOX;HONGXING;2023-08-30;Duo;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30190001;COUTEAU INEDIT USA+GENCOD;INEDIT USA TABLE KNIFE;HONGXING;2013-12-05;USA;Vrac;1.0;3118220001800;13118220001807;23118220001804;82119100000.0;1.5;223;43;2CR14;13;Mirror polishing;Printing + UV treatment;USA pattern; /; /; /; /; /;TB COLLECTION;2 x 18;Côté dentelure;Aucun;Each piece with a sticker (French description-Barcode-Imported by-N°Lot-Picto) - then 6 pieces wrapped one by one in silk paper and put in an white neutral box - then 40 inner boxes in a master carton (=240 pieces); /; /; /; /; /;6.0;240.0;27.0;35.5;28.5;0.02731725;0.04989166666666667
30190002;FOURCHETTE INEDIT USA+GENCOD;INEDIT USA TABLE FORK;HONGXING;2013-12-05;USA;Vrac;1.0;3118220001817;13118220001814;23118220001811;82159910000.0;1.5;200;35;18/0;16-18;Mirror polishing;Printing + UV treatment;USA pattern; /; /; /; /; /;TB COLLECTION;2,56 x 14,5;Derrière tête;Aucun;Each piece with a sticker (French description-Barcode-Imported by-N°Lot-Picto) - then 6 pieces wrapped one by one in silk paper and put in an white neutral box - then 40 inner boxes in a master carton (=240 pieces); /; /; /; /; /;6.0;240.0;27.5;42.5;25.0;0.02921875;0.0415
30190003;CUILLERE INEDIT USA+GENCOD;INEDIT USA TABLE SPOON;HONGXING;2013-12-05;USA;Vrac;1.0;3118220001824;13118220001821;23118220001828;82159910000.0;1.5;200;51;18/0;16-18;Mirror polishing;Printing + UV treatment;USA pattern; /; /; /; /; /;TB COLLECTION;2 X 15,50;Derrière tête;Aucun;Each piece with a sticker (French description-Barcode-Imported by-N°Lot-Picto) - then 6 pieces wrapped one by one in silk paper and put in an white neutral box - then 40 inner boxes in a master carton (=240 pieces); /; /; /; /; /;6.0;240.0;27.5;42.5;25.0;0.02921875;0.0545
30190004;CAFE INEDIT USA+GENCOD;INEDIT USA TABLE TEASPOON;HONGXING;2013-12-05;USA;Vrac;1.0;3118220001831;13118220001838;23118220001835;82159910000.0;1.5;150;25;18/0;16-18;Mirror polishing;Printing + UV treatment;USA pattern; /; /; /; /; /;TB COLLECTION;2 X 14;Derrière tête;Aucun;Each piece with a sticker (French description-Barcode-Imported by-N°Lot-Picto) - then 6 pieces wrapped one by one in silk paper and put in an white neutral box - then 40 inner boxes in a master carton (=240 pieces); /; /; /; /; /;6.0;240.0;27.0;34.0;18.5;0.016982999999999998;0.029
30363715;LOT 3 CTX TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE;SET OF 3 KNIVES TROQUET ANIS-TURQ-AUBERG-ORANGE;HONGXING;2020-07-24;Troquet;Lot;3.0;3118220034952;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;12.0;9.0;31.0;19.0;0.005300999999999999;0.10333333333333333
30363716;LOT 3 FETTES TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE;SET OF 3 FORKS TROQUET ANIS-TURQ-AUBERG-ORANGE;HONGXING;2020-07-24;Troquet;Lot;3.0;3118220034969;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;12.0;9.0;31.0;19.0;0.005300999999999999;0.11499999999999999
30363717;LOT 3 CUILLERES TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE;SET OF 3 SPOONS TROQUET ANIS-TURQ-AUBERG-ORANGE;HONGXING;2020-07-24;Troquet;Lot;3.0;3118220034976;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;12.0;9.0;31.0;19.0;0.005300999999999999;0.10916666666666668
30363718;LOT 3 CAFE TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE;SET OF 3 TEA SPOONS TROQUET ANIS-TURQ-AUBERG-ORANGE;HONGXING;2020-07-24;Troquet;Lot;3.0;3118220034983;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;12.0;9.0;31.0;19.0;0.005300999999999999;0.085
30363721;LOT DE 6 MAZAGRAN CLASSIC BLEU PANTONE 2227C CARREFOUR;TROQUET SET 6 MAZAGRAN BLUE 2227C CARR BRANDED;HONGXING;2021-05-05;Troquet;Lot;6.0;3616474764873;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;36.0;29.0;32.0;20.5;0.019024;0.18191666666666667
30363722;LOT DE 6 MAZAGRAN CLASSIC GRIS PANTONE 427C CARREFOUR;TROQUET SET 6 MAZAGRAN GREY 427C CARR BRANDED;HONGXING;2021-05-05;Troquet;Lot;6.0;3616474764880;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;36.0;29.0;32.0;2.0;0.0018560000000000002;0.18191666666666667
30540004;COUTEAU ZEPHIR TAUPE+GENCOD;KNIFE ZEPHIR TAUPE + BARCOD;HONGXING;2020-03-24;Zephir;Vrac;1.0;3118220032712;0;0;;;;;;13;;;;;;;;;;;;;;;;;;;12.0;240.0;0.0;0.0;0.0;0.0;0.0
30540005;FOURCHETTE ZEPHIR TAUPE+GENCOD;FORK ZEPHIR TAUPE + BARCOD;HONGXING;2020-03-24;Zephir;Vrac;1.0;3118220032729;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;240.0;0.0;0.0;0.0;0.0;0.0
30540006;CUILLERE ZEPHIR TAUPE+GENCOD;SPOON ZEPHIR TAUPE + BARCOD;HONGXING;2020-03-24;Zephir;Vrac;1.0;3118220032736;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;240.0;0.0;0.0;0.0;0.0;0.0
30540007;CAFE ZEPHIR TAUPE+GENCOD;TEA SPOON ZEPHIR TAUPE + BARCOD;HONGXING;2020-03-24;Zephir;Vrac;1.0;3118220032743;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;240.0;0.0;0.0;0.0;0.0;0.0
30590001;FUSIL A AIGUISER MECHE INOX AVEC ANNEAU VRAC;STAINLESS STEEL SHARPNER WITH LOOSE RING;JIT GLOBAL;2025-07-30;Accessoire;Vrac;1.0;0;0;0;;1.5;405;;High carbon steel #45;;56 to 58 HRC;PP + steel ring;Black; /; /; /; /; /; /; /; /;;Each piece with a pvc sheath put in a polybag - then 6 pieces in a inner box with sticker (reference-description-quantity) - then 6 inner boxes in a master carton (=36 pieces);;;;;;6.0;36.0;16.5;44.0;23.5;0.017061;0.363
30730002;COUTEAU INEDIT GEOMETRIX LOSANGE+GENCOD;GEOMETRIX LOSANGE TABLE KNIFE;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005174;13118220005171;23118220005178;82119100000.0;1.5;223;43;2CR14;13;Mirror polishing;Printing + UV treatment;Losange pattern; /; /; /; /; /;TB COLLECTION;2 x 18;Côté dentelure;;;;;;;;6.0;240.0;27.0;35.5;28.5;0.02731725;0.04989166666666667
30730003;FOURCHETTE INEDIT GEOMETRIX LOSANGE+GENCOD;GEOMETRIX LOSANGE TABLE FORK;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005181;13118220005188;23118220005185;82159910000.0;1.5;200;35;18/0;16-18;Mirror polishing;Printing + UV treatment;Losange pattern; /; /; /; /; /;TB COLLECTION;2 x 14,50;Derrière tête;;;;;;;;6.0;240.0;27.5;42.5;25.0;0.02921875;0.044025
30730004;CUILLERE INEDIT GEOMETRIX LOSANGE+GENCOD;GEOMETRIX LOSANGE TABLE SPOON;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005198;13118220005195;23118220005192;82159910000.0;1.5;200;51;18/0;16-18;Mirror polishing;Printing + UV treatment;Losange pattern; /; /; /; /; /;TB COLLECTION;2 x 14,50;Derrière tête;;;;;;;;6.0;240.0;27.5;42.5;25.0;0.02921875;0.05963333333333333
30730005;CAFE INEDIT GEOMETRIX LOSANGE+GENCOD;GEOMETRIX LOSANGE TABLE TEA SPOON;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005204;13118220005201;23118220005208;82159910000.0;1.5;150;25;18/0;16-18;Mirror polishing;Printing + UV treatment;Losange pattern; /; /; /; /; /;TB COLLECTION;2 x 13;Derrière tête;;;;;;;;6.0;240.0;27.0;34.0;18.5;0.016982999999999998;0.030908333333333333
30730006;COUTEAU INEDIT GEOMETRIX SQUARE+GENCOD;GEOMETRIX SQUARE TABLE KNIFE;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005211;13118220005218;23118220005215;82119100000.0;1.5;223;43;2CR14;13;Mirror polishing;Printing + UV treatment;Square pattern; /; /; /; /; /;TB COLLECTION;2 x 18;Côté dentelure;;;;;;;;6.0;240.0;21.0;40.5;30.0;0.025515;0.048
30730007;FOURCHETTE INEDIT GEOMETRIX SQUARE+GENCOD;GEOMETRIX SQUARE TABLE FORK;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005228;13118220005225;23118220005222;82159910000.0;1.5;200;35;18/0;16-18;Mirror polishing;Printing + UV treatment;Square pattern; /; /; /; /; /;TB COLLECTION;2 x 14,50;Derrière tête;;;;;;;;6.0;240.0;28.5;43.0;28.0;0.034314;0.039
30730008;CUILLERE INEDIT GEOMETRIX SQUARE+GENCOD;GEOMETRIX SQUARE TABLE SPOON;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005235;13118220005232;23118220005239;82159910000.0;1.5;200;51;18/0;16-18;Mirror polishing;Printing + UV treatment;Square pattern; /; /; /; /; /;TB COLLECTION;2 x 14,50;Derrière tête;;;;;;;;6.0;240.0;26.0;42.0;25.3;0.027627599999999995;0.053000000000000005
30730009;CAFE INEDIT GEOMETRIX SQUARE+GENCOD;GEOMETRIX SQUARE TABLE TEA SPOON;HONGXING;2014-07-22;Geometrix;Vrac;1.0;3118220005242;13118220005249;23118220005246;82159910000.0;1.5;150;25;18/0;16-18;Mirror polishing;Printing + UV treatment;Square pattern; /; /; /; /; /;TB COLLECTION;2 x 13;Derrière tête;;;;;;;;6.0;240.0;28.0;36.5;18.5;0.018907;0.030449999999999998
30790007;COUTEAU BOLERO TAUPE GENCOD;BOLERO KNIFE IVORY COLOUR;WINGAR;2020-03-26;Bolero;Vrac;1.0;3118220032842;0;0;;;;;;13;;;;;;;;;;;;;;;;;;;6.0;240.0;20.0;40.0;30.0;0.024;0.0376375
30790008;FOURCHETTE BOLERO TAUPE GENCOD;BOLERO FORK IVORY COLOUR;WINGAR;2020-03-26;Bolero;Vrac;1.0;3118220032859;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;32.0;36.0;24.0;0.027648000000000002;0.04029166666666666
30790009;CUILLERE BOLERO TAUPE GENCOD;BOLERO SPOON IVORY COLOUR;WINGAR;2020-03-26;Bolero;Vrac;1.0;3118220032866;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;32.0;35.0;26.0;0.02912;0.042666666666666665
30790010;CAFE BOLERO TAUPE GENCOD;BOLERO TEA SPOON IVORY COLOUR;WINGAR;2020-03-26;Bolero;Vrac;1.0;3118220032873;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;26.0;31.0;17.5;0.014105000000000001;0.028733333333333333
30900001;COUTEAU STEAK INEDIT DECOR BOIS CLAIR VRAC GENCOD;INEDIT TABLE KNIFE LIGHT WOOD LIKE HANDLE;HONGXING;2014-11-24;Decor bois;Vrac;1.0;3118220006669;0;0;82119100000.0;1.5;223;43;2CR14;13;Mirror polishing;Printing + UV treatment;Light wood print; /; /; /; /; /;TB COLLECTION;2 x 18;Côté dentelure;;;;;;;;6.0;240.0;34.0;27.0;26.5;0.024327;0.04429166666666667
30900002;FOURCHETTE INEDIT DECOR BOIS CLAIR VRAC GENCOD;INEDIT TABLE FORK LIGHT WOOD LIKE HANDLE;HONGXING;2014-11-24;Decor bois;Vrac;1.0;3118220006676;0;0;82159910000.0;1.5;200;35;18/0;16-18;Mirror polishing;Printing + UV treatment;Light wood print; /; /; /; /; /;TB COLLECTION;2,56 x 14,5;Derrière tête;;;;;;;;6.0;240.0;27.5;42.5;25.0;0.02921875;0.044025
30900003;CUILLERE INEDIT DECOR BOIS CLAIR VRAC GENCOD;INEDIT TABLE SPOON LIGHT WOOD LIKE HANDLE;HONGXING;2014-11-24;Decor bois;Vrac;1.0;3118220006683;0;0;82159910000.0;1.5;200;51;18/0;16-18;Mirror polishing;Printing + UV treatment;Light wood print; /; /; /; /; /;TB COLLECTION;2,56 x 14,5;Derrière tête;;;;;;;;6.0;240.0;27.5;42.5;25.0;0.02921875;0.050395833333333334
30900004;CAFE INEDIT DECOR BOIS CLAIR VRAC GENCOD;INEDIT TABLE TEA SPOON LIGHT WOOD LIKE HANDLE;HONGXING;2014-11-24;Decor bois;Vrac;1.0;3118220006690;0;0;82159910000.0;1.5;150;25;18/0;16-18;Mirror polishing;Printing + UV treatment;Light wood print; /; /; /; /; /;TB COLLECTION;2 X 13,50;Derrière tête;;;;;;;;6.0;240.0;27.0;34.0;18.5;0.016982999999999998;0.026000000000000002
31020020;COUTEAU NUANCE BLANC VRAC GENCOD;NUANCE TABLE KNIFE WHITE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032767;0;0;;;;;;13;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020021;FOURCHETTE NUANCE BLANC VRAC GENCOD;NUANCE TABLE FORK WHITE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032774;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020022;CUILLERE NUANCE BLANC VRAC GENCOD;NUANCE TABLE SPOON WHITE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032781;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020023;;NUANCE TABLE TEA SPOON WHITE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31020024;COUTEAU NUANCE BRUYERE VRAC GENCOD;NUANCE TABLE KNIFE PURPLE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032804;0;0;;;;;;13;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020025;FOURCHETTE NUANCE BRUYERE VRAC GENCOD;NUANCE TABLE FORK PURPLE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032811;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020026;CUILLERE NUANCE BRUYERE VRAC GENCOD;NUANCE TABLE SPOON PURPLE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032828;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020027;CAFE NUANCE BRUYERE VRAC GENCOD;NUANCE TABLE TEA SPOON PURPLE BULK+GENCOD;HONGXING;2020-03-26;Nuance;Vrac;1.0;3118220032835;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;0.0;0.0;0.0;0.0;0.0
31020028;COUTEAU NUANCE CELADON BLEU VRAC + GENCOD; NUANCE TABLE KNIFE BLUE CELADON BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220033993;0;0;;;;;;13;;;;;;;;;;;;;;;;;;;6.0;240.0;24.0;37.0;29.0;0.025752;0.11283333333333333
31020029;FOURCHETTE NUANCE CELADON BLEU VRAC + GENCOD; NUANCE TABLE FORK BLUE CELADON BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034006;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;28.5;24.0;24.5;0.016758;0.04868333333333333
31020030;CUILLERE NUANCE CELADON BLEU VRAC + GENCOD; NUANCE TABLE SPOON BLUE CELADON BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034013;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;24.0;25.5;22.0;0.013464;0.04187916666666667
31020031;CAFE NUANCE CELADON BLEU VRAC + GENCOD; NUANCE TABLE TEA SPOON BLUE CELADON BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034020;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;20.0;21.0;18.5;0.007769999999999999;0.025045833333333333
31020032;COUTEAU NUANCE OPALE VERT VRAC + GENCOD;KNIFE NUANCE GREEN OPAL BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034037;0;0;;;;;;13;;;;;;;;;;;;;;;;;;;6.0;240.0;24.0;37.0;29.0;0.025752;0.11283333333333333
31020033;FOURCHETTE NUANCE OPALE VERT VRAC + GENCOD;FORK NUANCE GREEN OPAL BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034044;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;28.5;24.0;24.5;0.016758;0.04868333333333333
31020034;CUILLERE NUANCE OPALE VERT VRAC + GENCOD;SPOON NUANCE GREEN OPAL BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034051;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;24.0;25.5;22.0;0.013464;0.04187916666666667
31020035;CAFE NUANCE OPALE VERT VRAC + GENCOD;TEA SPOON NUANCE GREEN OPAL BULK + BARCOD;HONGXING;2020-05-20;Nuance;Vrac;1.0;3118220034068;0;0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;240.0;20.0;21.0;18.5;0.007769999999999999;0.025045833333333333
31040006;COUTEAU DROP BLEU ACIER 5405C VRAC + GENCOD;DROP TABLE KNIFE BLUE COLOUR 5405C;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023215;0;0;;1.5;230;40;2CR14;13; /;AS/ABS 2 Tone;Blue 5405C; /; /; /; /; /;TB COLLECTION;1,28 x 17;Côté dentelure;Aucun;Aucun;Aucun;Aucun;Aucun;Aucun;Aucun;6.0;240.0;32.0;34.5;27.5;0.030359999999999995;0.042
31040007;FOURCHETTE DROP BLEU ACIER 5405C VRAC + GENCOD;DROP TABLE FORK BLUE COLOUR 5405C;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023468;0;0;;1.5;210;38;18/0;16-18; /;AS/ABS 2 Tone;Blue 5405C; /; /; /; /; /;TB COLLECTION;2,5 X 17;Derrière entre haut et manche;Aucun;Aucun;Aucun;Aucun;Aucun;Aucun;Aucun;6.0;240.0;31.5;38.0;25.0;0.029925;0.039
31040008;CUILLERE DROP BLEU ACIER 5405C VRAC + GENCOD;DROP TABLE SPOON BLUE COLOUR 5405C;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023475;0;0;;1.5;210;45;18/0;16-18; /;AS/ABS 2 Tone;Blue 5405C; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Derrière entre haut et manche;;;;;;;;6.0;240.0;33.5;38.0;24.5;0.0311885;0.041
31040009;CAFE DROP BLEU ACIER 5405C VRAC + GENCOD;DROP TEASPOON BLUE COLOUR 5405C;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023482;0;0;;1.5;135;18;18/0;16-18; /;AS/ABS 2 Tone;Blue 5405C; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Derrière entre haut et manche;;;;;;;;6.0;240.0;29.0;38.5;20.5;0.022888249999999995;0.01983333333333333
31040014;COUTEAU DROP BLANC TRANSPARENT VRAC + GENCOD;DROP TABLE KNIFE WHITE COLOUR;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023536;0;0;;1.5;230;40;2CR14;13; /;AS/ABS 2 Tone;Transparent white; /; /; /; /; /;TB COLLECTION;2,5 X 17;Côté dentelure;;;;;;;;6.0;240.0;32.0;34.5;27.5;0.030359999999999995;0.04728333333333334
31040015;FOURCHETTE DROP BLANC TRANSPARENT VRAC + GENCOD;DROP TABLE FORK WHITE COLOUR;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023543;0;0;;1.5;210;38;18/0;16-18; /;AS/ABS 2 Tone;Transparent white; /; /; /; /; /;TB COLLECTION;2,5 X 17;Derrière entre haut et manche;Aucun;Aucun;Aucun;Aucun;Aucun;Aucun;Aucun;6.0;240.0;31.5;37.5;25.7;0.030358124999999996;0.04272916666666667
31040016;CUILLERE DROP BLANC TRANSPARENT VRAC + GENCOD;DROP TABLE SPOON WHITE COLOUR;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023550;0;0;;1.5;210;45;18/0;16-18; /;AS/ABS 2 Tone;Transparent white; /; /; /; /; /;TB COLLECTION;2,5 X 17;Derrière entre haut et manche;;;;;;;;6.0;240.0;33.5;38.0;24.5;0.0311885;0.0482625
31040017;CAFE DROP BLANC TRANSPARENT VRAC + GENCOD;DROP TABLE TEASPOON WHITE COLOUR;HONGXING;2018-03-13;Drop;Vrac;1.0;3118220023567;0;0;;1.5;135;18;18/0;16-18; /;AS/ABS 2 Tone;Transparent white; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Derrière entre haut et manche;;;;;;;;6.0;240.0;29.0;38.5;20.5;0.022888249999999995;0.019
31040026;COUTEAU DROP COLOR BLEU VRAC + GENCOD;KNIFE DROP COLOR BLUE IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054233;13118220054230;23118220054237;;1.2;230;33;2CR14;13; /;ABS;Blue 7470C; /; /; /; /; /;TB COLLECTION;1,5 x 13;Côté dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;32.0;35.0;27.5;0.0308;0.041
31040027;FOURCHETTE DROP COLOR BLEU VRAC + GENCOD;FORK DROP COLOR BLUE IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054240;13118220054247;23118220054244;;1.5;210;36;18/0;16-18; /;ABS;Blue 7470C; /; /; /; /; /; /; /; /;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;31.5;37.5;25.7;0.030358124999999996;0.043333333333333335
31040028;CUILLERE DROP COLOR BLEU VRAC + GENCOD;SPOON DROP COLOR BLUE IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054257;13118220054254;23118220054251;;1.2;210;41;18/0;16-18; /;ABS;Blue 7470C; /; /; /; /; /; /; /; /;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;33.5;38.0;24.5;0.0311885;0.05
31040029;CAFE DROP COLOR BLEU VRAC + GENCOD;TEA SPOON DROP COLOR BLUE IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054264;13118220054261;23118220054268;;1.2;133;16;18/0;16-18; /;ABS;Blue 7470C; /; /; /; /; /; /; /; /;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;29.0;38.5;20.5;0.022888249999999995;0.019
31040030;COUTEAU DROP COLOR NOIR VRAC + GENCOD;KNIFE DROP COLOR BLACK IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054271;13118220054278;23118220054275;;1.2;230;33;2CR14;13; /;ABS;Black 6C; /; /; /; /; /;TB COLLECTION;1,5 x 13;Côté dentelure;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;32.0;35.0;27.5;0.0308;0.041
31040031;FOURCHETTE DROP COLOR NOIR VRAC + GENCOD;FORK DROP COLOR BLACK IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054288;13118220054285;23118220054282;;1.5;210;36;18/0;16-18; /;ABS;Black 6C; /; /; /; /; /; /; /; /;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;31.5;37.5;25.7;0.030358124999999996;0.043333333333333335
31040032;CUILLERE DROP COLOR NOIR VRAC + GENCOD;SPOON DROP COLOR BLACK IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054295;13118220054292;23118220054299;;1.2;210;41;18/0;16-18; /;ABS;Black 6C; /; /; /; /; /; /; /; /;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;33.5;38.0;24.5;0.0311885;0.05
31040033;CAFE DROP COLOR NOIR VRAC + GENCOD;TEA SPOON DROP COLOR BLACK IN BULK + GENCOD;HONGXING;2025-06-05;Drop;Vrac;1.0;3118220054301;13118220054308;23118220054305;;1.2;133;16;18/0;16-18; /;ABS;Black 6C; /; /; /; /; /; /; /; /;;Each piece with a sticker (french description - barcode - Imported by - N° Lot - Picto) - then 6 pieces wrapped together in silk paper and put in a white box with sticker (description - barcode - quantity - N° Lot written as a barcode) - then 40 boxes in a master carton (=240 pieces).;;;;;;6.0;240.0;29.0;38.5;20.5;0.022888249999999995;0.019
